pid	filename	suggested_action	reason
L03101	3100-Backview-LowiRez--Navy_2000x.webp	MOVE-TO-L03100	Filename pid signature matches BR pid L03100
S05280	S05280BlackRight.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05280	S05280WhiteRight.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05280	S05280IvoryRight.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05735	S05737-Black-Side.png	MOVE-TO-S05737	Filename pid signature matches BR pid S05737
S05735	S05737-Red-Side.png	MOVE-TO-S05737	Filename pid signature matches BR pid S05737
S05738	S05737-S05738_SIZE_CHART_-08-23-23.pdf	MOVE-TO-S05737	Filename pid signature matches BR pid S05737
S05773	S05772-S05773_SIZE_CHART_-08-23-23.pdf	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-Red-Side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-Grey-side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-White-Side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-Black-Side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-Navy-Side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05772-Royal-Side.png	MOVE-TO-S05772	Filename pid signature matches BR pid S05772
S05773	S05573_Navy_Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_Navy_Back.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_Cobalt_Back.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_Cobalt_Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_WHITE_176_BV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_GUNMETAL_FV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_WHITE_170_FV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_RED_158_BV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_GUNMETAL_BV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_BLACK_FV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_BLACK_BV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05773	S05573_RED_147_FV.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00976	L00975-L00976-L0975Y_SIZE_CHART_-07-11-24.pdf	MOVE-TO-L00975	Filename pid signature matches BR pid L00975
S05935	Gemini_Generated_Image_uidcd7uidcd7uidc.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05935	S05936-Model-5'10''-185Lbs-L.png	MOVE-TO-S05936	Filename pid signature matches BR pid S05936
S05936	Gemini_Generated_Image_r1f4tzr1f4tzr1f4.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05936	Gemini_Generated_Image_hswzc1hswzc1hswz.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05936	Gemini_Generated_Image_lq5dfzlq5dfzlq5d.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05936	S05935-S05936-S5935Y_SIZE_CHART_-08-22-23.pdf	MOVE-TO-S05935	Filename pid signature matches BR pid S05935
S05948	S05948 - Black - Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05948	S05948 - Yellow - Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05948	S05948 - Navy - Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05948	S05948 - Orange - Front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Black_Off_BV_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Navy_Off_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Orange_Off_FV_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Black_Off_009_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Navy_Off_Backview_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVisYellow_Off_BV_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVisYellow_Off_FV_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
S05960	L05960_HiVis_Orange_Off_BV_RGB.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 model.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Ivory Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Navy Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Navy Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Charcoal Heather  Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Charcoal Heather  Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Black Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Black Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Heather grey Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Heather grey Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 ivory Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Rouge Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Rouge Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Bleu Back.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00540	L00540 Bleu Front.png	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00545	L0545Y-Ivo-f.jpg	MOVE-TO-L0545Y	Filename pid signature matches BR pid L0545Y
L00550	S05610-S05611-S5610Y_SIZE_CHART_-08-22-23_d0a3705c-e5d3-442a-93cb-0d690b793aef.pdf	MOVE-TO-S05610	Filename pid signature matches BR pid S05610
L00550	L0550-AshGrey-back-LowRes_eca15492-a36d-4ad3-91a2-f635360b42f0_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00550	L0550-AshGrey-front_1e3860ad-3507-4772-91c4-5f006dcd9eac_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00550	L0550-Sand-back-LowRes_e96ec320-f970-4aed-8b3c-efb9659c4039_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L00550	L0550-AthleticGreyHeather-front_93352e6a-eed3-4eac-9f71-3310164ee8b5_2000x.webp	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0550Y	L00550Y-KellyGreen-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0550Y	L00550Y-Heliconia-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0550Y	L00550Y-Brown-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
L0550Y	L00550Y-LtBlue-front.jpg	TRASH-ORPHAN	No pid signature, no recognized brand prefix
